fcgkj f'k{kk ifj;kstuk] ck¡dk,,,,
fnukad 31-08-2026 rd Inspire Award ds rgr Nk=@Nk=kvksa dk Nominaton ugha djus okys fo|ky;ksa dh lwph,,,,
S.No,AppCode,Udisecode,SchoolName,Block
1,APP510161081947,10231706810,A.B Ascent Public School,Amarpur
2,APP510161289938,10231704110,Aastha Awasiya vidyalaya pavaidih,Amarpur
3,APP51016176089,10231706808,Adarsh Balika High School Amarpur,Amarpur
4,APP51016431326,10231707001,Adarsh M.S. Makduma,Amarpur
5,APP51016915828,10231706801,Adarsh Middle School Amarpur Boys,Amarpur
6,APP510161079590,10231709604,B.D Acadeny,Amarpur
7,APP51016430727,10231715202,Bimla Devi U.M.S. Birma Purvi,Amarpur
8,APP51016591299,10231700910,Buniyadi School Puranchak Salempur,Amarpur
9,APP51016591526,10231706101,Girl M.S. Amarpur,Amarpur
10,APP510161095643,10231700104,GIRL R.M.S. DUMRAMA,Amarpur
11,APP510161368176,10231718102,HEBRON MISSION SCHOOL AMARPUR,Amarpur
12,APP51016200722,10231707104,High School Athmaha,Amarpur
13,APP51016174346,10231707206,High School Bharko,Amarpur
14,APP51016171486,10231712703,High School Laugain,Amarpur
15,APP51016178461,10231706504,High School Mahadeopur,Amarpur
16,APP51016745660,10231704105,"HIGH SCHOOL, MADIYANATH",Amarpur
17,APP51016915113,10231720302,M. S. Kathel,Amarpur
18,APP51016184680,10231700107,M.D.N HIGH SCHOOL DUMRAMA,Amarpur
19,APP51016430141,10231720701,M.S. Ballikitta,Amarpur
20,APP51016430793,10231716402,M.S. Chapri,Amarpur
21,APP510161012228,10231712705,M.S. Longain,Amarpur
22,APP51016429294,10231706501,M.S. Mahadeopur,Amarpur
23,APP51016429314,10231706304,M.S. Surihari,Amarpur
24,APP51016906716,10231710603,M.S.Athmaha,Amarpur
25,APP510161338880,10231709902,MOUNT S A SCHOOL OF EXCELLENCE,Amarpur
26,APP51016180453,10231707603,"PM SHRI CMS HIGHER SECONDARY SCHOOL SHAHPUR , AMARPUR, BANKA",Amarpur
27,APP510161365131,10231704202,Prabhat Shishu Vidya Niketan,Amarpur
28,APP51016430755,10231702902,R.M.S. Marhiyanath,Amarpur
29,APP51016430134,10231707607,R.M.S. Shahpur,Amarpur
30,APP51016916369,10231709602,R.M.S. Vishwambharchak Amarpur,Amarpur
31,APP51016429491,10231706701,RAJKIYAKRIT MIDDLE SCHOOL KUSHMAHA,Amarpur
32,APP510161078869,10231711002,"S. K. P. Vidya Vihar, Rajpur",Amarpur
33,APP510161379476,10231707608,S.N.RESIDENTIAL SCHOOL SHAHPUR,Amarpur
34,APP51016184606,10231703402,"Sanjay Gandhi Balika Hs Biswaspur, Amarpur",Amarpur
35,APP510161301099,10231706811,TAGORE WORLD GLOBAL SCHOOL AMARPUR BANKA,Amarpur
36,APP510161311158,10231700307,U M S Gharibpur Urdu,Amarpur
37,APP51016993192,10231700401,U M S SULTANPUR URDU,Amarpur
38,APP510161341244,10231711102,U. H. S. Bishanpur,Amarpur
39,APP51016429275,10231704802,U. M.S. Dumariya,Amarpur
40,APP51016987689,10231700305,U.H.S Garibpur,Amarpur
41,APP51016723488,10231707301,U.H.S Kolbugurg,Amarpur
42,APP51016591636,10231702302,U.H.S Mainma,Amarpur
43,APP510161340357,10231717202,U.M.S Bhadariya,Amarpur
44,APP51016909695,10231700704,U.M.S Douna Urdu,Amarpur
45,APP510161033018,10231705501,U.M.S Gangapur,Amarpur
46,APP51016430126,10231707806,U.M.S Katoriya(Urdu),Amarpur
47,APP51016585024,10231717501,U.M.S Lausa,Amarpur
48,APP51016431777,10231709001,U.M.S. Baliya,Amarpur
49,APP51016591476,10231704201,U.M.S. Banhara,Amarpur
50,APP51016429335,10231706303,U.M.S. BHATTICHAK,Amarpur
51,APP51016430838,10231716401,U.M.S. Bhikhanpur (South),Amarpur
52,APP51016591545,10231703701,U.M.S. Bidanchak,Amarpur
53,APP51016431960,10231711405,U.M.S. Bishanpur,Amarpur
54,APP51016430949,10231703401,U.M.S. BISWASPUR,Amarpur
55,APP51016430970,10231712602,U.M.S. DHIMRA URDU,Amarpur
56,APP51016909884,10231707504,U.M.S. Fatehpur,Amarpur
57,APP51016591572,10231705201,U.M.S. Gopalpur,Amarpur
58,APP51016911576,10231710206,U.M.S. Gorgama,Amarpur
59,APP51016431353,10231711101,U.M.S. Indrasena,Amarpur
60,APP51016591619,10231710207,U.M.S. Kajra (Hindi),Amarpur
61,APP51016992069,10231711801,U.M.S. Kalyanpur,Amarpur
62,APP51016430778,10231713702,U.M.S. Kamdeopur (Boy),Amarpur
63,APP51016429303,10231713202,"U.M.S. Kamdeopur, Koiritola",Amarpur
64,APP51016431771,10231711403,U.M.S. Khaira,Amarpur
65,APP510161005394,10231705401,U.M.S. KOINDHA,Amarpur
66,APP51016908074,10231701801,U.M.S. Laxmipur,Amarpur
67,APP51016431982,10231708603,U.M.S. Mahgama Urdu,Amarpur
68,APP51016591507,10231715601,U.M.S. Mahouta,Amarpur
69,APP51016430956,10231706704,U.M.S. Pansalla,Amarpur
70,APP51016430828,10231704106,U.M.S. Pawai,Amarpur
71,APP51016429278,10231707901,U.M.S. Ramchandrapur Ithari,Amarpur
72,APP51016430168,10231707502,"U.M.S. Rampur, Amarpur",Amarpur
73,APP51016591627,10231710401,U.M.S. RANIKITTA,Amarpur
74,APP51016910266,10231722301,U.M.S. Shahaganjbad,Amarpur
75,APP51016591304,10231700908,U.M.S. Tetriya Kishanpur,Amarpur
76,APP51016429297,10231713201,U.M.S. Vikrampur,Amarpur
77,APP51016982358,10231707211,U.M.S.Baja,Amarpur
78,APP51016982308,10231707804,U.M.S.Janakpur,Amarpur
79,APP51016430832,10231701402,U.M.S.Jankipur,Amarpur
80,APP51016997917,10231711507,U.M.S.Jethour Jamua,Amarpur
81,APP51016908014,10231714602,U.M.S.Kulhariya,Amarpur
82,APP51016591313,10231701501,U.M.S.Pathaki,Amarpur
83,APP51016431998,10231708002,U.M.S.Shobhanpur,Amarpur
84,APP510161138197,10231705402,Uhs Baijudih Amarpur Banka,Amarpur
85,APP510161138471,10231720303,Uhs Fatehpur,Amarpur
86,APP510161340944,10231707302,UHS KOLBUJURG,Amarpur
87,APP510161348902,10231706305,Uhs Surihari,Amarpur
88,APP51016994711,10231710801,Ums Bhimsen,Amarpur
89,APP510161034268,10231701101,Ums Chandpur,Amarpur
90,APP510161032507,10231700902,Ums Chokar Maldah Chak,Amarpur
91,APP51016911073,10231707210,UMS JANAKPUR,Amarpur
92,APP510161360123,10231702301,UMS MAINMA AMARPUR,Amarpur
93,APP510161032323,10231717102,Ums Rajapur,Amarpur
94,APP510161040485,10231704701,Ums Tardih,Amarpur
95,APP51016429285,10231709203,UP GRADED MS NANAICHAK,Amarpur
96,APP51016429367,10231703302,"UPGRADED MIDDLE SCHOOL, BAIJUDIH",Amarpur
97,APP510161301811,10231704702,"Utkramit madhya vidyalaya, Tardih, Amarpur",Amarpur
98,APP51016593058,10232500901,A.Lalit Girishwar M.S. Banka,Banka
99,APP51016594614,10232503001,Abhyash M.S. Banka,Banka
100,APP510161360936,10232507403,ANG PUBLIC SCHOOL DHAKAMORE,Banka
101,APP51016593067,10232514602,Buniyadi School Bhatkundi,Banka
102,APP510161348205,10232510702,Buniyadi school danra banka,Banka
103,APP510161000347,10232511713,Buniyadi School Khamari,Banka
104,APP510161105003,10232514302,Girls M.S.Deshariya,Banka
105,APP510161368135,10232503008,IDEAL ACADEMY BANKA,Banka
106,APP510161080809,10232511720,Ideal Public English School,Banka
107,APP51016593149,10232505702,M.S Pararia,Banka
108,APP51016585655,10232500801,M.S. Domakhandh,Banka
109,APP510161070925,10232518602,M.S. Douna,Banka
110,APP510161341372,10232506502,MS BISHANPUR,Banka
111,APP51016262085,10232518204,N.U.H.S AMARPUR BANKA,Banka
112,APP51016594617,10232502902,"R. Girls M.S., Banka",Banka
113,APP51016200473,10232503005,R.M.K. Inter School Banka,Banka
114,APP51016585689,10232507508,R.M.S. Teliya,Banka
115,APP51016171548,10232503004,S.S Girls Hs Banka,Banka
116,APP51016910263,10232503805,Skp School Banka,Banka
117,APP51016256403,10232511705,T.R.P.S. High School Kakwara,Banka
118,APP510161338540,10232514603,U H S KARMA,Banka
